Classement général
Récompense le meilleur pronostiqueur du jeu
;;Score;Pronos
2;8;2;2
1;test24;2503;2
2;test185;2220;2
3;test147;2145;2
4;test107;2054;2
4;Toto;2053;2
5;test157;2020;2
6;test109;1880;2
7;test5;1835;2
8;test113;1815;2
9;test23;1785;2
10;test94;1778;2
11;test172;1749;2
12;test105;1740;2
13;test41;1724;2
14;test106;1692;2
15;test143;1650;2
16;test141;1640;2
17;test122;1630;2
18;test195;1622;2
19;test31;1605;2
20;test101;1604;2
21;test25;1597;2
22;test34;1580;2
23;test40;1575;2
24;test134;1570;2
25;test193;1565;2
26;test183;1560;2
27;test9;1550;2
27;test117;1550;2
29;test153;1522;2
30;test159;1520;2
30;test112;1520;2
32;test196;1500;2
33;test38;1496;2
34;test125;1492;2
35;test61;1490;2
35;test37;1490;2
37;test93;1485;2
38;test45;1468;2
39;test72;1460;2
40;test198;1450;2
41;test29;1445;2
42;test71;1430;2
42;test116;1430;2
42;test140;1430;2
42;test36;1430;2
46;test124;1425;2
47;test85;1420;2
48;test135;1418;2
49;test0;1414;2
50;test73;1405;2
51;test148;1396;2
52;test33;1385;2
53;test56;1370;2
54;test69;1360;2
55;test12;1355;2
56;test104;1354;2
56;test156;1354;2
58;test26;1352;2
59;test6;1350;2
60;test177;1315;2
61;test168;1313;2
62;test146;1310;2
62;test63;1310;2
62;test54;1310;2
65;test64;1300;2
66;test66;1299;2
67;test197;1298;2
67;test128;1298;2
69;test27;1296;2
70;test132;1292;2
71;test194;1290;2
71;test119;1290;2
73;test97;1285;2
74;test53;1280;2
74;test2;1280;2
76;test191;1276;2
77;test142;1273;2
78;test154;1268;2
79;test46;1267;2
80;test18;1255;2
81;test186;1230;2
81;test99;1230;2
81;test16;1230;2
84;test151;1222;2
85;test165;1221;2
86;test95;1220;2
87;test161;1217;2
88;test184;1213;2
89;test150;1210;2
90;test75;1206;2
91;test139;1202;2
91;test8;1202;2
93;test79;1190;2
94;test91;1183;2
94;test60;1183;2
96;test118;1180;2
96;test70;1180;2
98;test167;1170;2
99;test160;1163;2
100;test199;1160;2
100;test21;1160;2
102;test55;1156;2
103;test44;1150;2
103;test10;1150;2
105;test83;1146;2
105;test103;1146;2
107;test90;1140;2
108;test188;1139;2
109;test166;1120;2
109;test15;1120;2
109;test163;1120;2
112;test4;1119;2
113;test67;1115;2
114;test144;1114;2
115;test3;1112;2
115;test57;1112;2
117;test48;1107;2
118;test87;1097;2
119;test129;1092;2
119;test180;1092;2
121;test169;1090;2
121;test65;1090;2
123;test111;1087;2
124;test158;1084;2
125;test13;1075;2
125;test108;1075;2
127;test170;1072;2
128;test49;1070;2
129;test11;1060;2
129;test175;1060;2
131;test35;1056;2
132;test190;1048;2
133;test136;1040;2
134;test181;1035;2
135;test130;1034;2
136;test187;1030;2
136;test121;1030;2
138;test110;1028;2
138;test81;1028;2
140;test182;1010;2
141;test39;1007;2
142;test78;1001;2
143;test114;1000;2
144;test20;997;2
145;test42;993;2
146;test138;990;2
146;test120;990;2
146;test86;990;2
149;test88;980;2
149;test102;980;2
151;test84;974;2
152;test74;972;2
153;test22;968;2
154;test149;966;2
154;test7;966;2
156;test14;960;2
156;test179;960;2
156;test176;960;2
159;test32;954;2
160;test59;940;2
160;test92;940;2
160;test89;940;2
163;test47;935;2
164;test30;930;2
164;test137;930;2
166;test131;920;2
167;test174;910;2
167;test58;910;2
167;test145;910;2
170;test80;905;2
171;test52;900;2
172;test192;894;2
172;test155;894;2
174;test178;889;2
175;test28;885;2
176;test98;880;2
177;test82;875;2
178;test62;860;2
178;test123;860;2
180;test115;850;2
180;test173;850;2
182;test76;844;2
183;test1;840;2
183;test77;840;2
185;test189;830;2
186;test51;825;2
186;test100;825;2
188;test171;820;2
189;test17;811;2
190;test127;810;2
190;test50;810;2
190;test43;810;2
193;test96;808;2
194;test152;800;2
194;test164;800;2
196;test126;790;2
197;test19;750;2
198;test68;743;2
199;test162;710;2
200;test133;690;2
