Baroudeurs
Récompense les preneurs de risque
;;Bonus risque moyen;Pronos
2;7;3;2
1;test124;300;2
2;test159;290;2
3;test183;280;2
4;test31;275;2
4;test9;275;2
6;test153;265;2
6;test73;265;2
6;test125;265;2
6;test185;265;2
10;test24;260;2
11;test193;250;2
11;test117;250;2
11;test44;250;2
14;test105;245;2
14;test147;245;2
16;test85;240;2
16;test18;240;2
16;test156;240;2
19;test97;230;2
20;test48;225;2
20;test118;225;2
22;test144;220;2
22;test101;220;2
22;test63;220;2
25;test46;215;2
25;test36;215;2
25;test119;215;2
25;test196;215;2
25;test180;215;2
25;test99;215;2
31;test109;210;2
31;test141;210;2
31;test154;210;2
31;test157;210;2
35;test161;205;2
35;test67;205;2
35;test66;205;2
35;test175;205;2
35;test95;205;2
40;test29;200;2
40;test135;200;2
40;test143;200;2
40;test197;200;2
40;test128;200;2
45;test25;195;2
45;test113;195;2
45;test136;195;2
45;test163;195;2
45;test94;195;2
50;test34;190;2
50;test91;190;2
52;test61;185;2
52;test112;185;2
52;test140;185;2
52;test130;185;2
56;test21;180;2
56;test11;180;2
56;test75;180;2
56;test182;180;2
56;test49;180;2
56;test139;180;2
56;test150;180;2
56;test142;180;2
64;test6;175;2
64;test72;175;2
64;test190;175;2
64;test114;175;2
64;test39;175;2
69;test90;170;2
69;test120;170;2
69;test122;170;2
69;test45;170;2
69;test23;170;2
69;test165;170;2
69;test194;170;2
76;test81;165;2
76;test116;165;2
76;test87;165;2
76;test88;165;2
76;test104;165;2
76;test195;165;2
76;test70;165;2
76;test78;165;2
84;test8;160;2
84;test20;160;2
84;test107;160;2
84;test169;160;2
88;test134;155;2
88;test110;155;2
88;test151;155;2
88;test14;155;2
92;test69;150;2
92;test27;150;2
92;test121;150;2
92;test198;150;2
92;test16;150;2
92;test199;150;2
92;test3;150;2
92;test38;150;2
92;test79;150;2
92;test184;150;2
92;test83;150;2
92;test86;150;2
104;test149;145;2
104;test55;145;2
104;test138;145;2
104;test10;145;2
104;test59;145;2
104;test65;145;2
104;test74;145;2
104;test176;145;2
112;test172;140;2
112;test30;140;2
112;test7;140;2
115;test166;135;2
115;test12;135;2
117;test186;130;2
117;test5;130;2
117;test132;130;2
117;test26;130;2
117;test146;130;2
122;test84;125;2
122;test52;125;2
122;test106;125;2
122;test13;125;2
126;test108;120;2
126;test37;120;2
126;test22;120;2
129;test178;115;2
129;test53;115;2
129;test179;115;2
129;test4;115;2
129;test54;115;2
134;test47;110;2
134;test131;110;2
134;test32;110;2
137;test15;105;2
137;test82;105;2
137;test123;105;2
137;test28;105;2
137;test145;105;2
137;test137;105;2
137;test168;105;2
144;test115;100;2
144;test33;100;2
144;test160;100;2
144;test173;100;2
148;test77;95;2
148;test1;95;2
148;test148;95;2
148;test98;95;2
148;test92;95;2
153;test174;90;2
153;test71;90;2
153;test158;90;2
156;test181;85;2
156;test76;85;2
156;test171;85;2
156;test35;85;2
156;test191;85;2
161;test167;80;2
161;test50;80;2
161;test60;80;2
161;test51;80;2
161;test43;80;2
166;test127;75;2
166;test111;75;2
166;test164;75;2
166;test89;75;2
170;test187;70;2
170;test62;70;2
170;test100;70;2
170;test17;70;2
170;test40;70;2
170;test155;70;2
176;test102;65;2
176;test152;65;2
176;test2;65;2
179;test188;55;2
179;test0;55;2
179;test58;55;2
182;test177;50;2
182;test19;50;2
182;test170;50;2
182;test103;50;2
182;test93;50;2
187;test129;45;2
187;test64;45;2
187;test126;45;2
187;test68;45;2
187;test42;45;2
192;test192;40;2
192;test56;40;2
192;test57;40;2
192;test189;40;2
196;test80;30;2
196;test96;30;2
198;test133;20;2
198;test41;20;2
200;test162;5;2
