Tir groupé
Récompense les plus réguliers
;;Moyenne corrects;Pronos
2;7;3;2
1;test41;2.5;2
1;test24;2.5;2
1;test107;2.5;2
4;test5;2;2
4;test25;2;2
4;test185;2;2
4;test191;2;2
4;test168;2;2
4;test147;2;2
4;test172;2;2
11;test94;1.5;2
11;test188;1.5;2
11;test83;1.5;2
11;test23;1.5;2
11;test72;1.5;2
11;test64;1.5;2
11;test45;1.5;2
11;test38;1.5;2
11;test128;1.5;2
11;test33;1.5;2
11;test40;1.5;2
11;test157;1.5;2
11;test184;1.5;2
11;test177;1.5;2
11;test57;1.5;2
11;test4;1.5;2
11;test197;1.5;2
11;test148;1.5;2
11;test55;1.5;2
11;test195;1.5;2
11;test170;1.5;2
11;test111;1.5;2
11;test60;1.5;2
11;test103;1.5;2
35;test135;1;2
35;test66;1;2
35;test67;1;2
35;test69;1;2
35;test142;1;2
35;test141;1;2
35;test75;1;2
35;test134;1;2
35;test80;1;2
35;test181;1;2
35;test110;1;2
35;test106;1;2
35;test105;1;2
35;test121;1;2
35;test113;1;2
35;test116;1;2
35;test179;1;2
35;test178;1;2
35;test104;1;2
35;test101;1;2
35;test132;1;2
35;test87;1;2
35;test86;1;2
35;test89;1;2
35;test93;1;2
35;test96;1;2
35;test129;1;2
35;test84;1;2
35;test58;1;2
35;test27;1;2
35;test26;1;2
35;test159;1;2
35;test194;1;2
35;test158;1;2
35;test29;1;2
35;test35;1;2
35;test192;1;2
35;test31;1;2
35;test20;1;2
35;test160;1;2
35;test8;1;2
35;test165;1;2
35;test12;1;2
35;test163;1;2
35;test0;1;2
35;test16;1;2
35;test15;1;2
35;test162;1;2
35;test155;1;2
35;test193;1;2
35;test174;1;2
35;test49;1;2
35;test47;1;2
35;test151;1;2
35;test42;1;2
35;test149;1;2
35;test54;1;2
35;test46;1;2
35;test189;1;2
94;test143;0.5;2
94;test119;0.5;2
94;test161;0.5;2
94;test152;0.5;2
94;test146;0.5;2
94;test169;0.5;2
94;test144;0.5;2
94;test122;0.5;2
94;test118;0.5;2
94;test167;0.5;2
94;test125;0.5;2
94;test131;0.5;2
94;test130;0.5;2
94;test145;0.5;2
94;test154;0.5;2
94;test176;0.5;2
94;test156;0.5;2
94;test137;0.5;2
94;test138;0.5;2
94;test126;0.5;2
94;test153;0.5;2
94;test127;0.5;2
94;test140;0.5;2
94;test139;0.5;2
94;test124;0.5;2
94;test85;0.5;2
94;test48;0.5;2
94;test51;0.5;2
94;test190;0.5;2
94;test39;0.5;2
94;test37;0.5;2
94;test187;0.5;2
94;test53;0.5;2
94;test62;0.5;2
94;test61;0.5;2
94;test186;0.5;2
94;test56;0.5;2
94;test32;0.5;2
94;test28;0.5;2
94;test198;0.5;2
94;test7;0.5;2
94;test199;0.5;2
94;test10;0.5;2
94;test11;0.5;2
94;test3;0.5;2
94;test2;0.5;2
94;test22;0.5;2
94;test18;0.5;2
94;test17;0.5;2
94;test196;0.5;2
94;test63;0.5;2
94;test68;0.5;2
94;test95;0.5;2
94;test92;0.5;2
94;test91;0.5;2
94;test117;0.5;2
94;test97;0.5;2
94;test98;0.5;2
94;test100;0.5;2
94;test108;0.5;2
94;test13;0.5;2
94;test109;0.5;2
94;test82;0.5;2
94;test76;0.5;2
94;test74;0.5;2
94;test73;0.5;2
94;test71;0.5;2
94;test180;0.5;2
94;test78;0.5;2
94;test81;0.5;2
94;test112;0.5;2
94;test79;0.5;2
94;test102;0.5;2
167;test182;0;2
167;test183;0;2
167;test175;0;2
167;test171;0;2
167;test173;0;2
167;test99;0;2
167;test36;0;2
167;test34;0;2
167;test43;0;2
167;test44;0;2
167;test52;0;2
167;test50;0;2
167;test30;0;2
167;test21;0;2
167;test6;0;2
167;test9;0;2
167;test1;0;2
167;test14;0;2
167;test19;0;2
167;test59;0;2
167;test65;0;2
167;test133;0;2
167;test123;0;2
167;test136;0;2
167;test150;0;2
167;test164;0;2
167;test120;0;2
167;test115;0;2
167;test77;0;2
167;test70;0;2
167;test88;0;2
167;test90;0;2
167;test114;0;2
167;test166;0;2
